Name,Company,Level Audition,Re-Evaluation,note,ep1,ep2,ep3,ep5,ep6,ep8,ep10,ep11
Tanabe Karin,Hiroshima,B,C,,28,62,65,66,-,,
Tanaka Hana,Osaka,F,F,,45,68,71,70,-,,
Tanaka Koto,Aichi,C,A,,5,13,9,10,13,16,17,17
Tanaka Yuuki,Kanagawa,B,A,,17,21,24,26,20,19,16,15
Tani Seia,Saitama,F,D,,92,85,83,94,-,,
Uchiyama Rin,Tokyo,C,C,,57,74,73,46,35,39,
Ueki Mimi,Kanagawa,C,F,,99,51,57,63,-,,
Wakimoto Mihaya,Okayama,C,F,,75,69,70,72,-,,
Watanabe Miyu,Hyogo,D,C,,69,42,47,54,-,,
Yamaguchi Misaki,Miyazaki,D,C,,88,90,84,51,-,,
Yamamoto Suzu,Tokyo,A,A,,15,1,3,5,5,5,14,5
Yamazaki Mitsuki,Tokyo,D,F,,78,24,29,41,47,46,
Yoshida Ayano,Osaka,B,C,,61,53,51,45,41,37,
Yoshida Hana,Nara,B,C,,25,48,44,33,27,35,30
